Hemisphere,Year,Month,Fah.,Anomaly_type,Fah.a,Date,,
Northern,1961,1,0.17,J-D,0.09,1961/1/1,-,1
Northern,1962,1,0.28,J-D,0.13,1962/1/1,-,1
Northern,1963,1,0.07,J-D,0.14,1963/1/1,-,1
Northern,1964,1,-0.05,J-D,-0.19,1964/1/1,-,1
Northern,1965,1,-0.02,J-D,-0.14,1965/1/1,-,1
Northern,1966,1,-0.25,J-D,-0.02,1966/1/1,-,1
Northern,1967,1,-0.17,J-D,0.03,1967/1/1,-,1
Northern,1968,1,-0.29,J-D,-0.07,1968/1/1,-,1
Northern,1969,1,-0.43,J-D,-0.03,1969/1/1,-,1
Northern,1970,1,-0.02,J-D,-0.04,1970/1/1,-,1
Northern,1971,1,-0.14,J-D,-0.15,1971/1/1,-,1
Northern,1972,1,-0.54,J-D,-0.17,1972/1/1,-,1
Northern,1973,1,0.15,J-D,0.09,1973/1/1,-,1
Northern,1974,1,-0.25,J-D,-0.18,1974/1/1,-,1
Northern,1975,1,0.16,J-D,-0.05,1975/1/1,-,1
Northern,1976,1,0.05,J-D,-0.21,1976/1/1,-,1
Northern,1977,1,-0.16,J-D,0.12,1977/1/1,-,1
Northern,1978,1,0.16,J-D,0.02,1978/1/1,-,1
Northern,1979,1,-0.05,J-D,0.08,1979/1/1,-,1
Northern,1980,1,0.21,J-D,0.17,1980/1/1,-,1
Northern,1981,1,0.79,J-D,0.37,1981/1/1,-,1
Northern,1982,1,-0.13,J-D,0.06,1982/1/1,-,1
Northern,1983,1,0.55,J-D,0.25,1983/1/1,-,1
Northern,1984,1,0.34,J-D,0.04,1984/1/1,-,1
Northern,1985,1,0.07,J-D,0,1985/1/1,-,1
Northern,1986,1,0.36,J-D,0.13,1986/1/1,-,1
Northern,1987,1,0.25,J-D,0.25,1987/1/1,-,1
Northern,1988,1,0.59,J-D,0.37,1988/1/1,-,1
Northern,1989,1,0.08,J-D,0.27,1989/1/1,-,1
Northern,1990,1,0.48,J-D,0.53,1990/1/1,-,1
Northern,1991,1,0.6,J-D,0.41,1991/1/1,-,1
Northern,1992,1,0.61,J-D,0.14,1992/1/1,-,1
Northern,1993,1,0.39,J-D,0.19,1993/1/1,-,1
Northern,1994,1,0.34,J-D,0.37,1994/1/1,-,1
Northern,1995,1,0.75,J-D,0.58,1995/1/1,-,1
Northern,1996,1,0.27,J-D,0.27,1996/1/1,-,1
Northern,1997,1,0.34,J-D,0.52,1997/1/1,-,1
Northern,1998,1,0.62,J-D,0.71,1998/1/1,-,1
Northern,1999,1,0.59,J-D,0.48,1999/1/1,-,1
Northern,2000,1,0.38,J-D,0.5,2000/1/1,-,1
Northern,2001,1,0.57,J-D,0.64,2001/1/1,-,1
Northern,2002,1,1.02,J-D,0.71,2002/1/1,-,1
Northern,2003,1,0.93,J-D,0.75,2003/1/1,-,1
Northern,2004,1,0.67,J-D,0.66,2004/1/1,-,1
Northern,2005,1,0.94,J-D,0.86,2005/1/1,-,1
Northern,2006,1,0.66,J-D,0.82,2006/1/1,-,1
Northern,2007,1,1.46,J-D,0.86,2007/1/1,-,1
Northern,2008,1,0.34,J-D,0.68,2008/1/1,-,1
Northern,2009,1,0.82,J-D,0.73,2009/1/1,-,1
Northern,2010,1,0.81,J-D,0.9,2010/1/1,-,1
Northern,2011,1,0.61,J-D,0.75,2011/1/1,-,1
Northern,2012,1,0.68,J-D,0.82,2012/1/1,-,1
Northern,2013,1,0.85,J-D,0.8,2013/1/1,-,1
Northern,2014,1,0.97,J-D,0.92,2014/1/1,-,1
Northern,2015,1,1.18,J-D,1.18,2015/1/1,-,1
Northern,2016,1,1.55,J-D,1.31,2016/1/1,-,1
Northern,2017,1,1.41,J-D,1.18,2017/1/1,-,1
Northern,2018,1,1.15,J-D,1.05,2018/1/1,-,1
Northern,2019,1,1.21,J-D,1.22,2019/1/1,-,1
Northern,2020,1,1.6,J-D,1.36,2020/1/1,-,1
Southern,1880,1,0.01,J-D,-0.04,1880-1-1,-,1
Southern,1881,1,-0.08,J-D,0.01,1881-1-1,-,1
Southern,1882,1,0.08,J-D,0,1882-1-1,-,1
Southern,1883,1,-0.01,J-D,-0.06,1883-1-1,-,1
Southern,1884,1,-0.08,J-D,-0.14,1884-1-1,-,1
Southern,1885,1,-0.19,J-D,-0.24,1885-1-1,-,1
Southern,1886,1,-0.14,J-D,-0.2,1886-1-1,-,1
Southern,1887,1,-0.36,J-D,-0.28,1887-1-1,-,1
Southern,1888,1,-0.2,J-D,-0.12,1888-1-1,-,1
Southern,1889,1,0.08,J-D,-0.04,1889-1-1,-,1
Southern,1890,1,-0.2,J-D,-0.32,1890-1-1,-,1
Southern,1891,1,-0.2,J-D,-0.19,1891-1-1,-,1
Southern,1892,1,-0.08,J-D,-0.15,1892-1-1,-,1
Southern,1893,1,-0.12,J-D,-0.15,1893-1-1,-,1
Southern,1894,1,-0.13,J-D,-0.21,1894-1-1,-,1
Southern,1895,1,-0.12,J-D,-0.15,1895-1-1,-,1
Southern,1896,1,-0.07,J-D,-0.02,1896-1-1,-,1
Southern,1897,1,0.1,J-D,-0.05,1897-1-1,-,1
Southern,1898,1,-0.09,J-D,-0.26,1898-1-1,-,1
Southern,1899,1,-0.19,J-D,-0.14,1899-1-1,-,1
Southern,1900,1,-0.09,J-D,-0.06,1900/1/1,-,1
Southern,1901,1,-0.1,J-D,-0.18,1901/1/1,-,1
Southern,1902,1,-0.18,J-D,-0.22,1902/1/1,-,1
Southern,1903,1,-0.24,J-D,-0.36,1903/1/1,-,1
Southern,1904,1,-0.5,J-D,-0.45,1904/1/1,-,1
Southern,1905,1,-0.27,J-D,-0.22,1905/1/1,-,1
Southern,1906,1,0.02,J-D,-0.21,1906/1/1,-,1
Southern,1907,1,-0.27,J-D,-0.29,1907/1/1,-,1
Southern,1908,1,-0.34,J-D,-0.4,1908/1/1,-,1
Southern,1909,1,-0.5,J-D,-0.47,1909/1/1,-,1
Southern,1910,1,-0.49,J-D,-0.42,1910/1/1,-,1
Southern,1911,1,-0.52,J-D,-0.45,1911/1/1,-,1
Southern,1912,1,-0.13,J-D,-0.24,1912/1/1,-,1
Southern,1913,1,-0.23,J-D,-0.26,1913/1/1,-,1
Southern,1914,1,-0.07,J-D,-0.1,1914/1/1,-,1
Southern,1915,1,-0.12,J-D,-0.13,1915/1/1,-,1
Southern,1916,1,-0.15,J-D,-0.3,1916/1/1,-,1
Southern,1917,1,-0.62,J-D,-0.35,1917/1/1,-,1
Southern,1918,1,-0.26,J-D,-0.19,1918/1/1,-,1
Southern,1919,1,0,J-D,-0.2,1919/1/1,-,1
Southern,1920,1,-0.32,J-D,-0.23,1920/1/1,-,1
Southern,1921,1,-0.27,J-D,-0.26,1921/1/1,-,1
Southern,1922,1,-0.27,J-D,-0.29,1922/1/1,-,1
Southern,1923,1,-0.36,J-D,-0.3,1923/1/1,-,1
Southern,1924,1,-0.15,J-D,-0.35,1924/1/1,-,1
Southern,1925,1,-0.49,J-D,-0.29,1925/1/1,-,1
Southern,1926,1,-0.1,J-D,-0.21,1926/1/1,-,1
Southern,1927,1,-0.24,J-D,-0.29,1927/1/1,-,1
Southern,1928,1,-0.28,J-D,-0.29,1928/1/1,-,1
Southern,1929,1,-0.32,J-D,-0.37,1929/1/1,-,1
Southern,1930,1,-0.46,J-D,-0.29,1930/1/1,-,1
Southern,1931,1,-0.18,J-D,-0.21,1931/1/1,-,1
Southern,1932,1,-0.09,J-D,-0.26,1932/1/1,-,1
Southern,1933,1,-0.27,J-D,-0.32,1933/1/1,-,1
Southern,1934,1,-0.29,J-D,-0.25,1934/1/1,-,1
Southern,1935,1,-0.26,J-D,-0.3,1935/1/1,-,1
Southern,1936,1,-0.25,J-D,-0.26,1936/1/1,-,1
Southern,1937,1,-0.23,J-D,-0.17,1937/1/1,-,1
Southern,1938,1,-0.19,J-D,-0.18,1938/1/1,-,1
Southern,1939,1,-0.15,J-D,-0.13,1939/1/1,-,1
Southern,1940,1,0.12,J-D,0.09,1940/1/1,-,1
Southern,1941,1,0.2,J-D,0.16,1941/1/1,-,1
Southern,1942,1,0.18,J-D,0,1942/1/1,-,1
Southern,1943,1,0.07,J-D,-0.01,1943/1/1,-,1
Southern,1944,1,0.08,J-D,0.14,1944/1/1,-,1
Southern,1945,1,0.1,J-D,0.09,1945/1/1,-,1
Southern,1946,1,-0.03,J-D,-0.17,1946/1/1,-,1
Southern,1947,1,-0.08,J-D,-0.13,1947/1/1,-,1
Southern,1948,1,-0.18,J-D,-0.2,1948/1/1,-,1
Southern,1949,1,-0.1,J-D,-0.19,1949/1/1,-,1
Southern,1950,1,-0.23,J-D,-0.2,1950/1/1,-,1
Southern,1951,1,-0.33,J-D,-0.18,1951/1/1,-,1
Southern,1952,1,0.07,J-D,-0.03,1952/1/1,-,1
Southern,1953,1,-0.08,J-D,-0.07,1953/1/1,-,1
Southern,1954,1,-0.23,J-D,-0.25,1954/1/1,-,1
Southern,1955,1,-0.17,J-D,-0.2,1955/1/1,-,1
Southern,1956,1,-0.22,J-D,-0.16,1956/1/1,-,1
Southern,1957,1,-0.04,J-D,0.05,1957/1/1,-,1
Southern,1958,1,0.1,J-D,-0.03,1958/1/1,-,1
Southern,1959,1,-0.08,J-D,-0.06,1959/1/1,-,1
Southern,1960,1,-0.15,J-D,-0.13,1960/1/1,-,1
Southern,1961,1,-0.03,J-D,0.03,1961/1/1,-,1
Southern,1962,1,-0.17,J-D,-0.07,1962/1/1,-,1
Southern,1963,1,-0.14,J-D,-0.03,1963/1/1,-,1
Southern,1964,1,-0.13,J-D,-0.2,1964/1/1,-,1
Southern,1965,1,-0.15,J-D,-0.07,1965/1/1,-,1
Southern,1966,1,-0.13,J-D,-0.09,1966/1/1,-,1
Southern,1967,1,0.03,J-D,-0.07,1967/1/1,-,1
Southern,1968,1,-0.24,J-D,-0.09,1968/1/1,-,1
Southern,1969,1,0.22,J-D,0.15,1969/1/1,-,1
Southern,1970,1,0.2,J-D,0.09,1970/1/1,-,1
Southern,1971,1,0.09,J-D,-0.02,1971/1/1,-,1
Southern,1972,1,0.09,J-D,0.2,1972/1/1,-,1
Southern,1973,1,0.43,J-D,0.23,1973/1/1,-,1
Southern,1974,1,0.05,J-D,0.03,1974/1/1,-,1
Southern,1975,1,0.03,J-D,0.02,1975/1/1,-,1
Southern,1976,1,-0.12,J-D,0.01,1976/1/1,-,1
Southern,1977,1,0.53,J-D,0.24,1977/1/1,-,1
Southern,1978,1,-0.03,J-D,0.11,1978/1/1,-,1
Southern,1979,1,0.22,J-D,0.25,1979/1/1,-,1
Southern,1980,1,0.38,J-D,0.35,1980/1/1,-,1
Southern,1981,1,0.25,J-D,0.27,1981/1/1,-,1
Southern,1982,1,0.24,J-D,0.23,1982/1/1,-,1
Southern,1983,1,0.51,J-D,0.38,1983/1/1,-,1
Southern,1984,1,0.28,J-D,0.28,1984/1/1,-,1
Southern,1985,1,0.36,J-D,0.23,1985/1/1,-,1
Southern,1986,1,0.16,J-D,0.23,1986/1/1,-,1
Southern,1987,1,0.39,J-D,0.4,1987/1/1,-,1
Southern,1988,1,0.54,J-D,0.4,1988/1/1,-,1
Southern,1989,1,0.16,J-D,0.27,1989/1/1,-,1
Southern,1990,1,0.35,J-D,0.37,1990/1/1,-,1
Southern,1991,1,0.26,J-D,0.4,1991/1/1,-,1
Southern,1992,1,0.34,J-D,0.31,1992/1/1,-,1
Southern,1993,1,0.3,J-D,0.28,1993/1/1,-,1
Southern,1994,1,0.19,J-D,0.26,1994/1/1,-,1
Southern,1995,1,0.29,J-D,0.32,1995/1/1,-,1
Southern,1996,1,0.21,J-D,0.39,1996/1/1,-,1
Southern,1997,1,0.25,J-D,0.41,1997/1/1,-,1
Southern,1998,1,0.55,J-D,0.52,1998/1/1,-,1
Southern,1999,1,0.38,J-D,0.28,1999/1/1,-,1
Southern,2000,1,0.11,J-D,0.29,2000/1/1,-,1
Southern,2001,1,0.35,J-D,0.43,2001/1/1,-,1
Southern,2002,1,0.52,J-D,0.54,2002/1/1,-,1
Southern,2003,1,0.57,J-D,0.5,2003/1/1,-,1
Southern,2004,1,0.5,J-D,0.42,2004/1/1,-,1
Southern,2005,1,0.55,J-D,0.5,2005/1/1,-,1
Southern,2006,1,0.47,J-D,0.47,2006/1/1,-,1
Southern,2007,1,0.58,J-D,0.48,2007/1/1,-,1
Southern,2008,1,0.27,J-D,0.41,2008/1/1,-,1
Southern,2009,1,0.47,J-D,0.6,2009/1/1,-,1
Southern,2010,1,0.7,J-D,0.55,2010/1/1,-,1
Southern,2011,1,0.41,J-D,0.47,2011/1/1,-,1
Southern,2012,1,0.3,J-D,0.48,2012/1/1,-,1
Southern,2013,1,0.56,J-D,0.56,2013/1/1,-,1
Southern,2014,1,0.53,J-D,0.58,2014/1/1,-,1
Southern,2015,1,0.52,J-D,0.63,2015/1/1,-,1
Southern,2016,1,0.8,J-D,0.73,2016/1/1,-,1
Southern,2017,1,0.65,J-D,0.67,2017/1/1,-,1
Southern,2018,1,0.48,J-D,0.66,2018/1/1,-,1
Southern,2019,1,0.66,J-D,0.75,2019/1/1,-,1
Southern,2020,1,0.74,J-D,0.69,2020/1/1,-,1
Global,1880,2,-0.23,J-D,-0.16,1880-2-1,-,1
Global,1881,2,-0.13,J-D,-0.07,1881-2-1,-,1
Global,1882,2,0.15,J-D,-0.1,1882-2-1,-,1
